"Object", "Type", "Subtype", "Key", "elementContent"
"objectName", "ingrédient", "éparco", "", " clou de girofle>clous de girofle"
"objectName", "boisson", "", "boisson", "BOISSONS"
"objectName", "boisson", "", "brou de noix", "BROU DE NOIX"
"objectName", "boisson", "", "cassis", "CASSIS"
"objectName", "boisson", "", "eau-de-vie", "EAU-DE-VIE"
"objectName", "boisson", "", "ratafia de framboise", "RATAFIA DE FRAMBOISES"
"objectName", "boisson", "", "vin", "VIN"
"objectName", "", "", "", "arbres"
"objectName", "produit", "végétal", "vigne", "arbrisseau"
"objectName", "boisson", "", "boisson alcoolique", "boissons"
"objectName", "boisson", "", "boisson alcoolique", "boissons alcooliques"
"objectName", "boisson", "", "boisson alcoolique", "boissons alcooliques"
"objectName", "ustensile", "", "bonde", "bonde"
"objectName", "produit", "végétal", "vigne", "bourgeons"
"objectName", "produit", "végétal", "vigne", "bourgeons"
"objectName", "ustensile", "", "bouteille", "bouteilles"
"objectName", "produit", "végétal", "vigne", "branches"
"objectName", "boisson", "", "brou de noix", "brou de noix"
"objectName", "", "", "", "cabaret"
"objectName", "", "", "", "cabarets"
"objectName", "", "", "", "cabarets"
"objectName", "", "", "", "cabarets"
"objectName", "", "", "", "cabarets"
"objectName", "ingrédient", "éparco", "cannelle", "cannelle"
"objectName", "boisson", "", "cassis", "cassis"
"objectName", "produit", "végétal", "vigne", "cep"
"objectName", "produit", "végétal", "vigne", "cep de vigne"
"objectName", "ingrédient", "fruit", "cerise", "cerises"
"objectName", "ingrédient", "fruit", "cerise", "cerises"
"objectName", "ingrédient", "fruit", "cerise", "cerises amères"
"objectName", "produit", "végétal", "raisin chasselas", "chasselas"
"objectName", "produit", "végétal", "raisin chasselas", "chasselas"
"objectName", "produit", "végétal", "raisin chasselas", "chasselas"
"objectName", "produit", "végétal", "raisin chasselas", "chasselas"
"objectName", "ustensile", "", "cruche", "cruche"
"objectName", "ustensile", "", "cuve", "cuves"
"objectName", "ustensile", "", "cuve", "cuves"
"objectName", "ustensile", "", "cuve", "cuves"
"objectName", "boisson", "", "", "eau"
"objectName", "ingrédient", "", "eau", "eau"
"objectName", "boisson", "", "eau-de-vie", "eau-de-vie"
"objectName", "ingrédient", "", "eau-de-vie", "eau-de-vie"
"objectName", "ingrédient", "", "eau-de-vie", "eau-de-vie"
"objectName", "ingrédient", "", "eau-de-vie", "eau-de-vie blanche ordinaire"
"objectName", "boisson", "", "eai-de-vie", "eau-de-vie de riz"
"objectName", "produit", "végétal", "vigne", "feuilles"
"objectName", "produit", "végétal", "vigne", "feuilles"
"objectName", "produit", "végétal", "vigne", "fleurs"
"objectName", "produit", "végétal", "vigne", "fleurs"
"objectName", "ingrédient", "fruit", "framboise", "framboises"
"objectName", "ingrédient", "fruit", "framboise", "framboises"
"objectName", "ingrédient", "fruit", "fruit", "fruits sucrés"
"objectName", "ustensile", "", "fût", "fûts"
"objectName", "ustensile", "", "fût", "fûts"
"objectName", "ustensile", "", "fût", "fûts"
"objectName", "produit", "végétal", "raisin gamay", "gamay"
"objectName", "produit", "végétal", "raisin gouais", "gouais"
"objectName", "ingrédient", "fruit", "cassis", "grains"
"objectName", "produit", "végétal", "raisin", "grains"
"objectName", "ingrédient", "fruit", "cassis", "grains de cassis"
"objectName", "ingrédient", "fruit", "raisin", "grappes"
"objectName", "produit", "végétal", "raisin", "grappes"
"objectName", "produit", "végétal", "vigne", "grappes"
"objectName", "ustensile", "", "hotte", "hottes"
"objectName", "ustensile", "", "hotte", "hottes"
"objectName", "ingrédient", "fruit", "cassis", "jus"
"objectName", "ingrédient", "fruit", "framboise", "jus"
"objectName", "ingrédient", "éparco", "jus de canne à sucre", "jus des cannes à sucre"
"objectName", "boisson", "", "kirsch", "kirsch"
"objectName", "boisson", "", "cassis", "liqueur"
"objectName", "boisson", "", "eau-de-vie", "liqueur"
"objectName", "ingrédient", "", "liqueur de noix", "liqueur"
"objectName", "boisson", "", "liqueur", "liqueurs"
"objectName", "boisson", "", "liqueur", "liqueurs"
"objectName", "boisson", "", "liqueur", "liqueurs"
"objectName", "boisson", "", "liqueur de ménage", "liqueurs de ménage"
"objectName", "boisson", "", "liqueur de ménage", "liqueurs de ménage"
"objectName", "boisson", "", "liquide", "liquide"
"objectName", "ingrédient", "fruit", "raisin", "liquide"
"objectName", "ingrédient", "fruit", "raisin", "liquide"
"objectName", "boisson", "", "marasquin", "marasquin"
"objectName", "ingrédient", "fruit", "marc de raisin", "marc de raisin"
"objectName", "produit", "végétal", "raisin muscat", "muscat"
"objectName", "ingrédient", "fruit", "noix", "noix"
"objectName", "plat", "", "nourriture", "nourriture"
"objectName", "ingrédient", "fruit", "noyau", "noyaux"
"objectName", "plat", "", "pain", "pain"
"objectName", "ustensile", "", "panier d'osier", "paniers d'osier"
"objectName", "", "", "", "pays vignobles"
"objectName", "produit", "végétal", "vigne", "pied de vigne"
"objectName", "produit", "végétal", "raisin pineau", "pineau"
"objectName", "ustensile", "", "pressoir", "pressoir"
"objectName", "ustensile", "", "pressoir", "pressoir"
"objectName", "ingrédient", "fruit", "prune", "prunes"
"objectName", "ingrédient", "fruit", "prune", "prunes"
"objectName", "ingrédient", "fruit", "pêche", "pêches"
"objectName", "ingrédient", "fruit", "raisin", "raisin"
"objectName", "produit", "végétal", "raisin", "raisin"
"objectName", "produit", "végétal", "raisin", "raisin"
"objectName", "produit", "végétal", "raisin chasselas", "raisin"
"objectName", "produit", "végétal", "raisin", "raisin blanc"
"objectName", "ingrédient", "fruit", "raisin", "raisins"
"objectName", "produit", "végétal", "raisin", "raisins"
"objectName", "produit", "végétal", "raisin", "raisins"
"objectName", "produit", "végétal", "raisin", "raisins"
"objectName", "produit", "végétal", "raisin", "raisins blancs"
"objectName", "produit", "végétal", "raisin", "raisins noirs"
"objectName", "produit", "végétal", "vigne", "rameaux"
"objectName", "produit", "végétal", "vigne", "rameaux"
"objectName", "produit", "végétal", "vigne", "rameaux"
"objectName", "boisson", "", "ratafia", "ratafia"
"objectName", "boisson", "", "rhum", "rhum"
