"Section", "Type", "Subtype", "Key", "Object"
"récit", "produit", "laitier", "beurre", "Bretagne"
"récit", "produit", "poisson", "crevette", "Crevette"
"récit", "produit", "poisson", "hareng", "Harengs"
"récit", "produit", "poisson", "homard", "Homard"
"récit", "produit", "poisson", "saumon", "Poisson"
"récit", "produit", "poisson", "turbot", "Poisson"
"récit", "produit", "poisson", "saumon", "Saumon"
"récit", "produit", "poisson", "turbot", "Turbot"
"récit", "produit", "laitier", "beurre", "beurre de Normandie"
"récit", "produit", "carné", "bœuf", "bœuf"
"récit", "produit", "poisson", "homard", "chair"
"récit", "produit", "poisson", "congre", "congres"
"récit", "produit", "poisson", "coquillage", "coquillages"
"récit", "produit", "poisson", "crevette roses", "crevettes* Crevette. Petite écrevisse de mer qu'on recueille sur les plages. roses"
"récit", "produit", "laitier", "fromage", "fromages"
"récit", "produit", "fruit", "fruit", "fruits"
"récit", "produit", "poisson", "crevette grise", "grises"
"récit", "produit", "poisson", "hareng", "harengs"
"récit", "produit", "poisson", "homard", "homard"
"récit", "produit", "poisson", "homard", "homard"
"récit", "produit", "poisson", "homard", "homards"
"récit", "produit", "poisson", "huître", "huîtres"
"récit", "produit", "poisson", "huître", "huîtres"
"récit", "produit", "poisson", "langouste", "langouste"
"récit", "ustensile", "", "linge", "linge"
"récit", "produit", "légume", "légume", "légumes"
"récit", "produit", "poisson", "maquereau", "maquereaux"
"récit", "produit", "carné", "mouton", "mouton"
"récit", "ustensile", "", "panier", "panier"
"récit", "ustensile", "", "panier", "panier"
"récit", "ustensile", "", "panier", "paniers"
"récit", "produit", "poisson", "homard", "pattes"
"récit", "produit", "poisson", "homard", "pinces"
"récit", "produit", "poisson", "poisson", "poissons"
"récit", "produit", "carné", "porc", "porc"
"récit", "produit", "carné", "poularde", "poulardes"
"récit", "produit", "carné", "poulet", "poulets"
"récit", "produit", "poisson", "raie", "raie"
"récit", "produit", "poisson", "raie", "raies"
"récit", "produit", "poisson", "saumon", "saumons"
"récit", "produit", "poisson", "sole", "soles"
"récit", "produit", "poisson", "sole", "soles"
"récit", "produit", "poisson", "turbot", "turbots"
"récit", "produit", "carné", "viande", "viandes"
"récit", "produit", "carné", "volaille", "volailles"
"récit", "produit", "poisson", "écrevisse", "écrevisse"
"récit", "produit", "poisson", "écrevisse", "écrevisse de mer"
"récit", "produit", "animal", "œuf", "œufs"
"questionnaire", "produit", "poisson", "crevette", "crevettes"
"questionnaire", "produit", "poisson", "crustacé", "crustacés"
"questionnaire", "produit", "poisson", "homard", "homards"
"questionnaire", "ustensile", "", "panier", "paniers"
"questionnaire", "produit", "poisson", "poisson", "poissons"
"questionnaire", "produit", "carné", "viande", "viande"
"géographie", "", "", "", "coquillages"
"géographie", "", "", "", "poissons"
"sciences_naturelles", "", "", "", " "
"sciences_naturelles", "", "", "", "HARENGS"
"sciences_naturelles", "", "", "", "POISSONS"
"sciences_naturelles", "", "", "", "anchois"
"sciences_naturelles", "", "", "", "chair"
"sciences_naturelles", "", "", "", "chair"
"sciences_naturelles", "", "", "", "chair"
"sciences_naturelles", "", "", "", "crustacés"
"sciences_naturelles", "", "", "", "filets"
"sciences_naturelles", "", "", "", "hareng"
