"Section", "Type", "Subtype", "Key", "Object"
"récit", "ingrédient", "féculent", "Blé", "Blé"
"récit", "ingrédient", "féculent", "avoine", "avoine"
"récit", "produit", "féculent", "avoine", "avoine"
"récit", "produit", "boisson", "bière", "bière"
"récit", "", "", "", "blé"
"récit", "", "", "", "blé"
"récit", "", "", "", "blé"
"récit", "ingrédient", "féculent", "Bblé", "blé"
"récit", "produit", "féculent", "blé", "blé"
"récit", "produit", "féculent", "céréales", "céréales"
"récit", "produit", "", "aliment", "nourriture"
"récit", "produit", "", "aliment", "nourriture"
"récit", "ingrédient", "féculent", "orge", "orge"
"récit", "ingrédient", "féculent", "orge", "orge"
"récit", "ingrédient", "féculent", "orge", "orge"
"récit", "mets", "féculent", "pain", "pain"
"récit", "ingrédient", "féculent", "seigle", "seigle"
"récit", "ingrédient", "féculent", "seigle", "seigle"
"questionnaire", "", "", "", "blé"
"questionnaire", "", "", "", "blé"
"questionnaire", "", "", "", "blé"
"géographie", "", "", "", "blé"
"sciences_naturelles", "", "", "", "CÉRÉALES"
"sciences_naturelles", "", "", "", "avoine"
"sciences_naturelles", "", "", "", "blé"
"sciences_naturelles", "", "", "", "orge"
"sciences_naturelles", "", "", "", "seigle"
"agriculture", "", "", "", "avoine"
"agriculture", "", "", "", "avoine"
"agriculture", "", "", "", "blé"
"agriculture", "", "", "", "blé"
"agriculture", "", "", "", "blé"
"agriculture", "", "", "", "blé"
"agriculture", "", "", "", "blé"
"agriculture", "", "", "", "céréales"
"agriculture", "", "", "", "faucille"
"agriculture", "", "", "", "orge"
"agriculture", "", "", "", "orge"
"agriculture", "", "", "", "rouleau"
"agriculture", "", "", "", "seigle"
"agriculture", "", "", "", "seigle"
"agriculture", "", "", "", "semoir"
"industrie", "", "", "", "MOULIN"
"industrie", "", "", "", "battoir"
"industrie", "", "", "", "blé"
"industrie", "", "", "", "céréales"
"industrie", "", "", "", "farine"
"industrie", "", "", "", "farine"
"industrie", "", "", "", "fléau"
"industrie", "", "", "", "grain"
"industrie", "", "", "", "grain"
"industrie", "", "", "", "grain"
"industrie", "", "", "", "grain"
"industrie", "", "", "", "grain"
"industrie", "", "", "", "grain"
"industrie", "", "", "", "meule"
"industrie", "", "", "", "meules"
"industrie", "", "", "", "meules"
"industrie", "", "", "", "moulin"
"industrie", "", "", "", "moulin"
"industrie", "", "", "", "moulin"
"industrie", "", "", "", "moulin"
"industrie", "", "", "", "moulins"
"industrie", "", "", "", "plateau d'osier"
"industrie", "", "", "", "roue à volants"
"industrie", "", "", "", "sac"
"industrie", "", "", "", "son"
"industrie", "", "", "", "trémie"
"industrie", "", "", "", "van"
"économie_domestique", "mets", "féculent", "pains", " pains"
"économie_domestique", "ingrédient", "féculent", "pâte", " pâte"
"économie_domestique", "", "", "", ","
"économie_domestique", "mets", "féculent", "pain", "PAIN"
"économie_domestique", "mets", "", "aliment", "aliment"
"économie_domestique", "ingrédient", "légume", "betteraves", "betteraves"
"économie_domestique", "ustensile", "", "cendres", "cendres"
"économie_domestique", "ustensile", "", "charbons", "charbons"
"économie_domestique", "ustensile", "", "coffre", "coffre"
"économie_domestique", "", "", "", "cuisson"
"économie_domestique", "ingrédient", "minéral", "eau", "eau"
"économie_domestique", "ingrédient", "minéral", "eau", "eau"
"économie_domestique", "ingrédient", "féculent", "farine", "farine"
"économie_domestique", "ingrédient", "féculent", "farine", "farine"
"économie_domestique", "ingrédient", "féculent", "farine", "farine"
"économie_domestique", "ingrédient", "féculent", "farine", "farine"
"économie_domestique", "ingrédient", "féculent", "farine", "farine"
"économie_domestique", "ustensile", "", "four", "four"
"économie_domestique", "mets", "", "gâteaux", "gâteaux"
"économie_domestique", "ingrédient", "", "levain", "levain"
"économie_domestique", "ingrédient", "", "levain", "levain"
"économie_domestique", "ingrédient", "", "levure de bière", "levure de bière"
"économie_domestique", "ingrédient", "éparco", "liaisons", "liaisons"
"économie_domestique", "ingrédient", "légume", "légumes", "légumes"
"économie_domestique", "mets", "", "mie", "mie"
"économie_domestique", "ingrédient", "féculent", "pâte", "morceaux"
"économie_domestique", "", "", "", "pain"
"économie_domestique", "mets", "féculent", "pain", "pain"
"économie_domestique", "mets", "féculent", "pain", "pain"
"économie_domestique", "mets", "féculent", "pain", "pain"
"économie_domestique", "mets", "féculent", "pains", "pains"
"économie_domestique", "mets", "féculent", "pains", "pains"
"économie_domestique", "ustensile", "", "pelle", "pelle"
"économie_domestique", "ingrédient", "légume", "pommes de terres", "pommes de terre"
"économie_domestique", "produit", "animal", "porcs", "porcs"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ustensile", "", "pétrin", "pétrin"
"économie_domestique", "mets", "", "sauces", "sauces"
"économie_domestique", "ingrédient", "féculent", "son", "son"
"économie_domestique", "ingrédient", "féculent", "son", "son"
"économie_domestique", "ingrédient", "féculent", "son", "son"
"économie_domestique", "produit", "animal", "volailles", "volailles"
