"Section", "Type", "Subtype", "Key", "Object"
"récit", "produit", "fruit", "citron", "Citron"
"récit", "produit", "fruit", "orange", "Orange"
"récit", "produit", "fruit", "banane", "bananes"
"récit", "produit", "fruit", "banane", "bananes"
"récit", "produit", "fruit", "bananier", "bananier"
"récit", "produit", "boisson", "boisson de feuille d'oranger", "boisson"
"récit", "produit", "boisson", "limonade", "boisson"
"récit", "produit", "fruit", "citron", "citron"
"récit", "produit", "fruit", "citronnier", "citronnier"
"récit", "produit", "fruit", "citronnier", "citronniers"
"récit", "produit", "fruit", "citronnier", "citronniers"
"récit", "produit", "fruit", "citron", "citrons"
"récit", "ingrédient", "", "eau", "eau"
"récit", "produit", "fruit", "eau d'oranger", "eau distillée des fleurs"
"récit", "produit", "fruit", "orange", "feuilles d'oranger"
"récit", "ustensile", "", "fourchette", "fourchette"
"récit", "produit", "fruit", "orange", "fruit"
"récit", "produit", "fruit", "banane", "fruits"
"récit", "produit", "boisson", "limonade", "limonade"
"récit", "mets", "", "met", "mets"
"récit", "produit", "fruit", "orange", "orange"
"récit", "produit", "fruit", "oranger", "orangers"
"récit", "produit", "fruit", "orangers", "orangers"
"récit", "produit", "fruit", "orange", "oranges"
"récit", "produit", "fabriqué", "papier", "papier"
"récit", "ingrédient", "éparco", "suctre", "sucre"
"récit", "produit", "végétal", "bananier", "tiges"
"récit", "produit", "fabriqué", "étoffe", "étoffes"
"sciences_naturelles", "", "", "", "banane"
"sciences_naturelles", "", "", "", "banane"
"sciences_naturelles", "", "", "", "bananes"
"sciences_naturelles", "", "", "", "chair"
"sciences_naturelles", "", "", "", "citron"
"sciences_naturelles", "", "", "", "citron"
"sciences_naturelles", "", "", "", "citron"
"sciences_naturelles", "", "", "", "citron"
"sciences_naturelles", "", "", "", "concombres"
"sciences_naturelles", "", "", "", "fruit"
"sciences_naturelles", "", "", "", "fruit"
"sciences_naturelles", "", "", "", "fruit"
"sciences_naturelles", "", "", "", "fruits"
"sciences_naturelles", "", "", "", "fruits"
"sciences_naturelles", "", "", "", "liquide"
"sciences_naturelles", "", "", "", "nourriture"
"sciences_naturelles", "", "", "", "noyaux"
"sciences_naturelles", "", "", "", "orange"
"sciences_naturelles", "", "", "", "orange"
"sciences_naturelles", "", "", "", "orange"
"sciences_naturelles", "", "", "", "orange"
"sciences_naturelles", "", "", "", "orange"
"sciences_naturelles", "", "", "", "orange"
"sciences_naturelles", "", "", "", "suc"
"sciences_naturelles", "", "", "", "suc"
"sciences_naturelles", "", "", "", "tranche"
"sciences_naturelles", "", "", "", "tranches"
"sciences_naturelles", "", "", "", "écorce"
"économie_domestique", "ustensile", "", "assiette", "assiette"
"économie_domestique", "ustensile", "", "assiette", "assiette"
"économie_domestique", "produit", "fruit", "citron", "citron"
"économie_domestique", "produit", "fruit", "citron", "citron"
"économie_domestique", "ustensile", "", "doigt", "doigt"
"économie_domestique", "produit", "fruit", "orange", "enveloppe jaune"
"économie_domestique", "mets", "", "orange", "fruit"
"économie_domestique", "produit", "fruit", "orange", "fruit"
"économie_domestique", "ingrédient", "fruit", "jus de citron", "jus"
"économie_domestique", "mets", "", "orange", "orange"
"économie_domestique", "produit", "fruit", "orange", "orange"
"économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"économie_domestique", "ingrédient", "éparco", "sucre en poudre", "sucre en poudre"
"économie_domestique", "mets", "", "orange", "tranche"
"économie_domestique", "produit", "fruit", "orange", "tranches"
"économie_domestique", "produit", "fruit", "orange", "écorce"
