"Section", "Type", "Subtype", "Key", "Object"
"récit", "produit", "légume", "plante potagère", "Plante potagère"
"récit", "produit", "légume", "carotte", "botte"
"récit", "produit", "légume", "carotte", "botte"
"récit", "produit", "légume", "carotte", "botte"
"récit", "produit", "légume", "carotte", "carotte"
"récit", "produit", "légume", "carotte", "carotte"
"récit", "produit", "légume", " chou de Bruxelles", "choux de Bruxelles"
"récit", "produit", "légume", "chou de Bruxelles", "choux de Bruxelles"
"récit", "produit", "", "aliment", "d'aliment"
"récit", "produit", "laitier", "fromage", "fromages"
"récit", "produit", "fruit", "grappe", "grappe"
"récit", "produit", "légume", "légume", "légumes"
"récit", "produit", "légume", "légume", "légumes"
"récit", "ustensile", "", " panier", "paniers"
"récit", "ustensile", "", "panier", "paniers"
"récit", "produit", "fruit", "poire", "poire de beurré"
"récit", "produit", "animal", "poulet", "poulets"
"récit", "produit", "fruit", "pêche", "pêches"
"récit", "produit", "fruit", "raisin", "raisin"
"récit", "mets", "", "victuaille", "victuailles"
"récit", "produit", "animal", "volaille", "volaille"
"récit", "ustensile", "", "étal", "étals"
"questionnaire", "produit", "", "produit", "produits"
"morale", "", "", "", "pro- visions"
"industrie", "ustensile", "", "panier", "PANIERS"
"industrie", "produit", "", "achat", "achats"
"industrie", "ustensile", "", " corbeille", "corbeilles"
"industrie", "ustensile", "", " corbeille", "corbeilles"
"industrie", "ustensile", "", "corbeille", "corbeilles"
"industrie", "ustensile", "", "corbeille", "corbeilles"
"industrie", "ustensile", "", "corbeille", "corbeilles"
"industrie", "ustensile", "", "corbeille", "corbeilles"
"industrie", "produit", "", "denrée", "denrées"
"industrie", "produit", "fruit", "fruit", "fruits"
"industrie", "produit", "végétal", "graine", "graines"
"industrie", "ustensile", "", "panier", "panier"
"industrie", "ustensile", "", "panier", "panier à vendange"
"industrie", "ustensile", "", "panier", "panier de marée"
"industrie", "ustensile", "", "panier", "panier à ouvrage"
"industrie", "ustensile", "", "panier", "panier à anse"
"industrie", "ustensile", "", "panier", "panier à claire-voie"
"industrie", "ustensile", "", "panier", "paniers"
"industrie", "ustensile", "", "panier", "paniers"
"industrie", "ustensile", "", "panier", "paniers"
"industrie", "ustensile", "", "panier", "paniers"
"industrie", "ustensile", "", "panier", "paniers"
"industrie", "ustensile", "", "panier", "paniers"
"industrie", "ustensile", "", "panier", "paniers"
"industrie", "produit", "", "", "provisions"
"industrie", "ustensile", "", "ustensile", "ustensiles"
"industrie", "produit", "animal", "œuf", "œufs"
"agriculture", "produit", "végétal", "carotte", "CAROTTE"
"agriculture", "produit", "végétal", "carotte", "blanche"
"agriculture", "", "", "", "carotte"
"agriculture", "", "", "carotte", "carotte"
"agriculture", "produit", "végétal", "carotte", "carotte"
"agriculture", "produit", "végétal", "carotte", "carotte de Hollande"
"agriculture", "", "", "carotte", "carotte nantaise"
"agriculture", "", "", "carotte", "carottes"
"agriculture", "produit", "végétal", "carotte", "carottes"
"agriculture", "produit", "végétal", "carotte", "carottes fourragères"
"agriculture", "ustensile", "", "pioche", "pioche"
"agriculture", "produit", "végétal", "plante", "plante"
"agriculture", "produit", "végétal", "plante", "plante-racine potagère"
"agriculture", "produit", "végétal", "racine", "racine"
"agriculture", "produit", "végétal", "racine", "racine"
"agriculture", "produit", "végétal", "racine", "racine"
"agriculture", "produit", "végétal", "racine", "racine"
"agriculture", "produit", "végétal", "carotte", "rouge de Flandre"
"économie_domestique", "mets", "", "canard aux navers", "CANARD AUX NAVETS"
"économie_domestique", "mets", "", "poule au riz", "POULE AU RIZ"
"économie_domestique", "mets", "", "poulet", "POULET RÔTI"
"économie_domestique", "produit", "animal", "volaille", "VOLAILLES"
"économie_domestique", "produit", "animal", "aile", "ailes"
"économie_domestique", "produit", "animal", "bec", "bec"
"économie_domestique", "ingrédient", "laitier", "beurre", "beurre"
"économie_domestique", "ingrédient", "laitier", "beurre", "beurre frais"
"économie_domestique", "ingrédient", "", "bouillon", "bouillon"
"économie_domestique", "produit", "boisson", "bouillon", "bouillon"
"économie_domestique", "produit", "boisson", "bouillon", "bouillon"
"économie_domestique", "produit", "animal", "canard", "canard"
"économie_domestique", "produit", "animal", "canard", "canard"
"économie_domestique", "produit", "animal", "canard", "canard"
"économie_domestique", "produit", "animal", "canard", "canard"
"économie_domestique", "mets", "", "canard", "canard aux navets"
"économie_domestique", "produit", "végétal", "carotte", "carotte"
"économie_domestique", "ustensile", "", "casserole", "casserole"
"économie_domestique", "ustensile", "", "casserole", "casserole"
"économie_domestique", "ustensile", "", "casserole", "casserole"
"économie_domestique", "produit", "éparco", "clou de girofle", "clous de girofle"
"économie_domestique", "produit", "végétal", "cresson", "cresson"
"économie_domestique", "produit", "végétal", "céleri", "céleri"
"économie_domestique", "ingrédient", "", "eau", "eau"
"économie_domestique", "ingrédient", "", "eau", "eau"
"économie_domestique", "ustensile", "", "four", "four"
"économie_domestique", "produit", "carné", "jambon", "jambon"
"économie_domestique", "ingrédient", "", "jus", "jus"
"économie_domestique", "ingrédient", "", "jus", "jus"
"économie_domestique", "produit", "animal", "jus", "jus"
"économie_domestique", "produit", "animal", "lard", "lard"
"économie_domestique", "produit", "végétal", "navet", "navets"
"économie_domestique", "produit", "végétal", "navet", "navets"
"économie_domestique", "produit", "végétal", "oignon", "oignon"
"économie_domestique", "produit", "animal", "os", "os"
"économie_domestique", "produit", "féculent", "patte", "pattes"
